Oracion Original,Label Orignial,Puntaje Positivo,Puntaje Negativo,Tiempo de Ejecucion,Resultado de Inferencia,Sentimiento
loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,1,0.382,0.0,0.00027179718017578125,7.7678796506095535,Positivo
reading my kindle love it lee childs is good read,1,0.47,0.0,0.0001518726348876953,8.25714367308946,Positivo
ok first assesment of the kindle it fucking rocks,1,0.216,0.0,9.465217590332031e-05,5.685285851512496,Neutral
you ll love your kindle ve had mine for few months and never looked back the new big one is huge no need for remorse,1,0.204,0.135,0.00026154518127441406,5.324753103777121,Neutral
fair enough but have the kindle and think it perfect,1,0.456,0.0,0.00013637542724609375,8.254430721780247,Positivo
no it is too big quite happy with the kindle,1,0.281,0.155,0.00011777877807617188,5.683077192145202,Neutral
fuck this economy hate aig and their non loan given asses,0,0.0,0.444,0.00011730194091796875,1.9862644043011175,Negativo
jquery is my new best friend,1,0.649,0.0,9.870529174804688e-05,8.148085456858295,Positivo
loves twitter,1,0.787,0.0,3.743171691894531e-05,8.329052611143469,Positivo
how can you not love obama he makes jokes about himself,1,0.139,0.234,0.0001361370086669922,4.592521732123175,Neutral
firmly believe that obama pelosi have zero desire to be civil it charade and slogan but they want to destroy conservatism,0,0.127,0.182,0.00022101402282714844,4.81211058070702,Neutral
house correspondents dinner was last night whoopi barbara amp sherri went obama got standing ovation,1,0.0,0.0,0.0001342296600341797,5.0,Neutral
watchin espn jus seen this new nike commerical with puppet lebron sh was hilarious lmao,1,0.337,0.0,0.00015544891357421875,6.925837220582532,Positivo
dear nike stop with the flywire that shit is waste of science and ugly love,0,0.245,0.43,0.0001811981201171875,4.638780334337979,Neutral
lebron best athlete of our generation if not all time basketball related don want to get into inter sport debates about,1,0.224,0.0,0.00020194053649902344,5.740372663306142,Neutral
was talking to this guy last night and he was telling me that he is die hard spurs fan he also told me that he hates lebron james,0,0.067,0.238,0.00023651123046875,4.315026374665856,Neutral
love lebron,1,0.808,0.0,3.743171691894531e-05,8.318693340664755,Positivo
lebron is beast but still cheering the til the end,0,0.331,0.0,0.00010728836059570312,6.8360971260820635,Positivo
lebron is the boss,1,0.0,0.0,4.887580871582031e-05,5.0,Neutral
lebron is hometown hero to me lol love the lakers but let go cavs lol,1,0.488,0.0,0.0001659393310546875,8.25804894832121,Positivo
lebron and zydrunas are such an awesome duo,1,0.369,0.0,9.489059448242188e-05,7.488559092940109,Positivo
lebron is beast nobody in the nba comes even close,1,0.0,0.0,9.417533874511719e-05,5.0,Neutral
downloading apps for my iphone so much fun there literally is an app for just about anything,1,0.183,0.0,0.0001575946807861328,5.4854053177315105,Neutral
good news just had call from the visa office saying everything is fine what relief am sick of scams out there stealing,1,0.225,0.312,0.00023818016052246094,4.715379568100544,Neutral
awesome come back from via,1,0.506,0.0,5.841255187988281e-05,8.248509633572047,Positivo
in montreal for long weekend of amp much needed,1,0.0,0.0,8.440017700195312e-05,5.0,Neutral
booz allen hamilton has bad ass homegrown social collaboration platform way cool ttiv,1,0.422,0.0,0.0001628398895263672,8.238710691196548,Positivo
mluc customer innovation award winner booz allen hamilton,1,0.664,0.0,0.0001068115234375,8.1772301317723,Positivo
current use the nikon and love it but not as much as the canon chose the for the video feature my mistake,1,0.101,0.121,0.0001888275146484375,4.955653436269137,Neutral
google is always good place to look should ve mentioned worked on the mustang my dad,1,0.162,0.0,0.0001556873321533203,5.378724792987849,Neutral
played with an android google phone the slide out screen scares me would break that fucker so fast still prefer my iphone,0,0.085,0.238,0.00021576881408691406,4.365742238097208,Neutral
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,0,0.0,0.098,0.00022268295288085938,4.871091809875058,Neutral
omg so bored amp my tattoooos are so itchy help aha,0,0.185,0.319,0.000125885009765625,4.4696029147467415,Neutral
itchy and miserable,0,0.0,0.841,4.9591064453125e-05,1.9149088934874456,Negativo
no not itchy for now maybe later lol,0,0.391,0.186,9.918212890625e-05,5.745738996287068,Neutral
rt love the nerdy stanford human biology videos makes me miss school,1,0.263,0.175,0.0001399517059326172,5.468376040788416,Neutral
has been bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,1,0.145,0.178,0.00023365020751953125,4.8960960430736495,Neutral
listening to by danny gokey lt lt lt aww he so amazing lt him so much,1,0.245,0.0,0.0001285076141357422,5.898892402656011,Neutral
is going to sleep then on bike ride,1,0.0,0.0,7.82012939453125e-05,5.0,Neutral
cant sleep my tooth is aching,0,0.0,0.39,7.963180541992188e-05,2.3933290522227995,Negativo
blah blah blah same old same old no plans today going back to sleep guess,0,0.0,0.368,0.00012540817260742188,2.8023069024062432,Negativo
glad didnt do bay to breakers today it freaking degrees in san francisco wtf,0,0.146,0.32,0.00015115737915039062,4.186228632689379,Neutral
obama administration must stop bonuses to aig ponzi schemers,0,0.281,0.172,0.00011396408081054688,5.565341138218423,Neutral
started to think that citi is in really deep amp are they gonna survive the turmoil or are they gonna be the next aig,0,0.0,0.098,0.0001926422119140625,4.871091809875058,Neutral
shaunwoo hate on aig,0,0.0,0.552,5.459785461425781e-05,1.7908305186487234,Negativo
you will not regret going to see star trek it was awesome,1,0.391,0.0,0.00013780593872070312,7.983321346998986,Positivo
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,0,0.0,0.13,0.0001621246337890625,4.774756077500735,Neutral
highly recommend by malcolm gladwell,1,0.411,0.0,6.29425048828125e-05,8.23032734827194,Positivo
blink by malcolm gladwell amazing book and the tipping point,1,0.297,0.0,0.00010967254638671875,6.39770914596513,Neutral
malcolm gladwell might be my new man crush,1,0.0,0.186,9.870529174804688e-05,4.537707214005228,Neutral
omg the commercials alone on espn are going to drive me nuts,0,0.0,0.301,0.0001385211944580078,3.688724215584026,Neutral
playing with twitter api sounds fun may need to take class or find new friend who like to generate results with api code,1,0.362,0.0,0.00020813941955566406,7.351731898463621,Positivo
hello twitter api,1,0.0,0.0,4.124641418457031e-05,5.0,Neutral
because the twitter api is slow and most client aren good,0,0.24,0.0,0.00011777877807617188,5.859222255840857,Neutral
yahoo answers can be butt sometimes,0,0.0,0.0,6.4849853515625e-05,5.0,Neutral
is scrapbooking with nic,1,0.0,0.0,4.7206878662109375e-05,5.0,Neutral
rt five things wolfram alpha does better and vastly different than google,1,0.209,0.0,0.00013208389282226562,5.639277485828661,Neutral
just changed my default pic to nike basketball cause bball is awesome,1,0.272,0.0,0.00012493133544921875,6.136507546435357,Neutral
rt was just told that nike layoffs started today,0,0.0,0.0,8.463859558105469e-05,5.0,Neutral
back when worked for nike we had one fav word just do it,1,0.2,0.0,0.0001323223114013672,5.583107036754852,Neutral
by the way totally inspired by this freaky nike commercial,1,0.25,0.179,0.00011086463928222656,5.385209150105039,Neutral
class the is supposed to come today,1,0.0,0.0,7.081031799316406e-05,5.0,Neutral
needs someone to explain lambda calculus to him,0,0.0,0.0,7.104873657226562e-05,5.0,Neutral
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,0,0.1,0.142,0.0002155303955078125,4.884604026719354,Neutral
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,1,0.197,0.092,0.00023412704467773438,5.427524808110702,Neutral
yeahhhhhhhhh wouldn really have lived in east palo alto if could have avoided it guess it only for the summer,0,0.0,0.112,0.00017118453979492188,4.832290920103697,Neutral
great stanford course thanks for making it available to the public really helpful and informative for starting off,1,0.402,0.0,0.0001704692840576172,8.222078302451594,Positivo
work til pm lets go lakers,1,0.0,0.0,6.413459777832031e-05,5.0,Neutral
damn you north korea,0,0.0,0.474,5.412101745605469e-05,1.8465391496046075,Negativo
can we just go ahead and blow north korea off the map already,0,0.0,0.0,0.00011396408081054688,5.0,Neutral
north korea please cease this douchebaggery china doesn even like you anymore,0,0.324,0.0,0.00013184547424316406,6.736512181891904,Positivo
why the hell is pelosi in freakin china and on whose dime,0,0.0,0.295,0.00011777877807617188,3.749612423464761,Neutral
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking handout,0,0.0,0.184,0.0001804828643798828,4.547798223866012,Neutral
insects have infected my spinach plant,0,0.0,0.39,7.390975952148438e-05,2.3933290522227995,Negativo
wish could catch every mosquito in the world burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,0,0.206,0.117,0.00023174285888671875,5.400528165812746,Neutral
just got back from church and totally hate insects,0,0.0,0.333,0.00010228157043457031,3.3189535848167178,Neutral
just got mcdonalds goddam those eggs make me sick yeah laker up date go lakers not much of an update well it true so suck it,0,0.189,0.28,0.0002830028533935547,4.634266004684543,Neutral
omgg ohhdee want mcdonalds damn wonder if its open lol,1,0.297,0.196,0.00012540817260742188,5.477080242093158,Neutral
history exam studying ugh,0,0.0,0.483,6.341934204101562e-05,1.8027523321117043,Negativo
hate revision it so boring am totally unprepared for my exam tomorrow things are not looking good,0,0.0,0.394,0.00018024444580078125,2.309854273551011,Negativo
higher physics exam tommorow not lookin forward to it much,0,0.0,0.0,9.34600830078125e-05,5.0,Neutral
it bank holiday yet only out of work now exam season sucks,0,0.178,0.164,0.00013184547424316406,5.084837964491649,Neutral
cheney and bush are the real culprits,0,0.0,0.0,7.05718994140625e-05,5.0,Neutral
life bitch and so is dick cheney bipart tlot tcot hhrs gop dnc,0,0.0,0.401,0.00013518333435058594,2.1745812386538597,Negativo
dick cheney dishonest speech about torture terror and obama fred kaplan slate,0,0.0,0.641,0.00013518333435058594,1.922172579552566,Negativo
the republican party is bunch of anti abortion zealots who couldn draw flies to dump neal boortz just now on the radio,0,0.099,0.245,0.00023221969604492188,4.365498426388774,Neutral
is twitter connections api broken some tweets didn make it to twitter,0,0.0,0.22,0.00012135505676269531,4.345393407248625,Neutral
srsly hate the stupid twitter api timeout thing soooo annoying,0,0.0,0.583,0.00012230873107910156,1.8461900090352303,Negativo
really liked learning jquery book is worth look too,1,0.416,0.0,0.00010633468627929688,8.234360905261433,Positivo
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,1,0.166,0.0,0.00013780593872070312,5.397992612221417,Neutral
goodby silverstein agency new site great,1,0.451,0.0,7.963180541992188e-05,8.252977961663113,Positivo
rt goodby silverstein new site enjoy it nice find,1,0.462,0.0,0.00011515617370605469,8.25582905983294,Positivo
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,1,0.267,0.0,0.00018072128295898438,6.08928258186918,Neutral
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,1,0.286,0.0,0.00016427040100097656,6.277302887166158,Neutral
zomg have,1,0.0,0.0,3.218650817871094e-05,5.0,Neutral
ok so lots of buzz from io but how lucky are they free,1,0.494,0.0,0.00014519691467285156,8.257793382679548,Positivo
just got free android at google,1,0.398,0.0,7.390975952148438e-05,8.165516721526465,Positivo
guess ll be retiring my and start using my developer woot googleio,1,0.203,0.0,0.00012612342834472656,5.601449879806973,Neutral
am happy for philip being at googleio today,1,0.346,0.0,8.463859558105469e-05,7.068952267713499,Positivo
lakers played great cannot wait for thursday night lakers vs,1,0.448,0.0,9.751319885253906e-05,8.251975148360046,Positivo
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,1,0.258,0.127,0.0001838207244873047,5.7097424668457055,Neutral
viral marketing fail this acia pills brand oughta get shut down for hacking into people messenger get msgs in day arrrgh,0,0.0,0.149,0.00017952919006347656,4.704512816430854,Neutral
watching night at the museum lmao,1,0.438,0.0,8.249282836914062e-05,8.247881357826616,Positivo
loved night at the museum,1,0.494,0.0,6.079673767089844e-05,8.257793382679548,Positivo
just got back from the movies went to see the new night at the museum with rachel it was good,1,0.132,0.0,0.00018215179443359375,5.251375168381229,Neutral
will take you on date to see night at the museum whenever you want it looks soooooo good,1,0.208,0.0,0.0001876354217529297,5.632904678552233,Neutral
no watching the night at the museum getting really good,1,0.238,0.164,0.00010967254638671875,5.405882442214048,Neutral
night at the museum wolverine and junk food perfect monday,1,0.291,0.0,0.00011515617370605469,6.330897958669335,Neutral
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,1,0.388,0.05,0.0002505779266357422,7.231213849802549,Positivo
night at the museum tonite instead of up oh well that yr old better enjoy it lol,0,0.458,0.0,0.00019311904907226562,8.25493770522825,Positivo
it unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,0,0.088,0.098,0.000244140625,4.984614819305932,Neutral
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,0,0.203,0.0,0.00020313262939453125,5.601449879806973,Neutral
oh yes but if gm dies it will only be worth more boo hahaha,0,0.464,0.0,0.0001621246337890625,8.25621503404684,Positivo
time warner cable is down again rd time since memorial day bummer,0,0.0,0.191,0.00012111663818359375,4.511853304793181,Neutral
would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for slow connection,0,0.152,0.065,0.00017762184143066406,5.268555775564762,Neutral
